S.No,Name ,Capacity (MW),Location,Operator,Easting,Northing
1,Vindyachal Thermal Power Station,4760,"Singrauli, Madhya Pradesh",NTPC,82.6719,24.0983
2,Mundra thermal power station,4620,"Mundra, Kutch, Gujarat",Adani Power,69.5487,22.8225
3,Mundra Ultra mega power plant,4000,"Mundra, Kutch, Gujarat",Gujarat Power Limited,69.52771,22.8159
4,Sasan Ultra mega power project,3960,"Sasan, Madhya Pradesh",Sasan power,82.6264733,23.9775233
5,Jindal tamnar thermal power plant,3400,"tamnar, chattisgarh",Jindal power limited,83.4513116,22.0987473
6,"Chandrapur Super thermal power 
Station",3340,"Urjanagar, Maharastra",MAHAGENCO,79.293,20.0023
7,Tiroda Thermal Power station,3300,"Tirora, Maharastra",Adani Power,79.9671,21.4129
8,Talcher super thermal power station,3000,"Angul, Odisha",NTPC,85.0741,21.0973
9,Sipat Super thermal power station,2980,"Sipat, Chattisgarh",NTPC,82.2849,22.1431
10,NTPC dadri,2637,"Dadri, Uttar Pradesh",NTPC,77.6087,28.5985
11,NTPC Ramagundam,2600,"Ramagundam, Telangana",NTPC,79.4555,18.7589
12,Korba super thermal power plant,2600,"jamnipalli, chattisgarh",NTPC,82.6834,22.3859
13,Rihand Thermal power station,2500,"Raenukat, Uttar pradesh",NTPC,82.7899,24.0267
14,Sterlite Jharsguda power station,2400,"Jharsguda, Odisha",Sterlite energy ,84.0404,21.8144
15,Kahalgaon Super thermal power station,2340,"Kahalgaon, Bihar",NTPC,87.2673,25.2374
16,NTPC Mouda ,2320,"Mouda, Maharstra",NTPC,79.3844,21.1928
17,Farakka super thermal power station,2100,Nabarun,NTPC,87.894,24.772
18,Simhadri super thermal powerstation,2000,"Visakhapatnam, Andhra
 Pradesh",NTPC,83.0875,17.5961
19,Singrauli Super thermal power station,2000,"Shaktinagar, Uttarpradesh",NTPC,82.706384,24.105168
20,Kudgi super thermal power station,1600,"Kudgi, Karnataka",NTPC,75.8427,16.4968
21,"Sri Damodaram Sanjeevaiah Thermal 
Power station",1600,"Krishnapatnam, 
Andhra pradesh",APGENCO and IL and FS,80.1204,14.3279
22,"Feroze Gandhi Unchhar Thermal Power
station",1550,"Unchhahar, Uttar pradesh",NTPC,81.3254,25.9092
23,Wanakbori Thermal Power station,1470,"Wanakbori, Gujarat",GSECL,73.3588,22.8766
24,Barh super thermal power station,1320,"Barh, Bihar",NTPC,85.7467,25.4894
,,,,,,
,,,,,,
